Key,Description,en,it
BSM-66LR_description,Item description of: BSM-66LR,Standard semi-active radar-guided surface to air missile. Equipped with first stage booster for extended range.,
ASF-SRM x3_fullName,Full equip name of: ASF-SRM x3,ASF-SRM x3,
ASF-SRM x3_description,Item description of: ASF-SRM x3,A rack of three standard heat-seeking anti-air missiles.,
eqSublabel_LASER-BOMB-INTERNAL,HUD sub-label of an equip,LASER BOMB INTERNAL,
AGM-145 Ballista x2_fullName,Full equip name of: AGM-145 Ballista x2,AGM-145 Ballista x2,
AGM-145 Ballista x2_description,Item description of: AGM-145 Ballista x2,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.",
AGM-188 MARM_fullName,Full equip name of: AGM-188 MARM,AGM-188 MARM,
AGM-188 MARM_description,Item description of: AGM-188 MARM,Medium range anti-radiation missile with a unique top down attack angle.,
ASRM-93 x2_fullName,Full equip name of: ASRM-93 x2,ASRM-93 x2,
ASRM-93 x2_description,Item description of: ASRM-93 x2,Heat seeking short range air to air missiles.  Internally stowed.,
AGM-145 Ballista x3_fullName,Full equip name of: AGM-145 Ballista x3,AGM-145 Ballista x3,
AGM-145 Ballista x3_description,Item description of: AGM-145 Ballista x3,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.",
ASF-SRM-RA x3_fullName,Full equip name of: ASF-SRM-RA x3,ASF-SRM-RA x3,
ASF-SRM-RA x3_description,Item description of: ASF-SRM-RA x3,A rack of three older rear-aspect heat-seeking anti-air missiles.,
Backstop_fullName,Full equip name of: Backstop,Backstop,
Backstop_description,Item description of: Backstop,Standard semi-active radar-guided surface to air missile.,
ASMRM-1 x1_fullName,Full equip name of: ASMRM-1 x1,ASMRM-1 x1,
ASMRM-1 x1_description,Item description of: ASMRM-1 x1,"Older, medium range semi-active radar air to air missile. Requires radar lock until intercept.",
AIM-9E Sidewinder_fullName,Full equip name of: AIM-9E Sidewinder,AIM-9E Sidewinder,
AIM-9E Sidewinder_description,Item description of: AIM-9E Sidewinder,"A single AIM-9E. An older short range, rear-aspect, heat seeking air to air missile.",
Hydra-70 x14 Rocket Pod_fullName,Full equip name of: Hydra-70 x14 Rocket Pod,Hydra-70 x14 Rocket Pod,
Hydra-70 x14 Rocket Pod_description,Item description of: Hydra-70 x14 Rocket Pod,"A pair of pods carrying a total of 14 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",
mfdpOpenMenu,Tooltip for button that opens a menu.,Open Menu,
mfdpBLANK,Label for a minimized MFD portal that is empty. Opens the portal menu.,BLANK,
MFDPortalHome_MFDPortalPage_pageName,MFD portal page name,Menu,
MFDPortalHome_MFDPortalPage_pageLabel,MFD portal page button label,MENU,
MapMFDPage_MFDPortalPage_pageName,MFD portal page name,Nav Map,
MapMFDPage_MFDPortalPage_pageLabel,MFD portal page button label,NAV,
ObjectivesPage_MFDPortalPage_pageName,MFD portal page name,Objectives,
ObjectivesPage_MFDPortalPage_pageLabel,MFD portal page button label,OBJCTV,
SCamPage_MFDPortalPage_pageName,MFD portal page name,SpectatorCam,
SCamPage_MFDPortalPage_pageLabel,MFD portal page button label,S-CAM,
RWRPage_MFDPortalPage_pageName,MFD portal page name,RWR,
RWRPage_MFDPortalPage_pageLabel,MFD portal page button label,RWR,
OptionsPage_MFDPortalPage_pageName,MFD portal page name,Vehicle Options,
OptionsPage_MFDPortalPage_pageLabel,MFD portal page button label,OPTS,
F-45A_mfd_altitudeSettings:T5_tooltip,Tooltip for an MFD button.,Back,
F-45A_mfd_altitudeSettings:L3_tooltip,Tooltip for an MFD button.,Min Alt +,
F-45A_mfd_altitudeSettings:L4_tooltip,Tooltip for an MFD button.,Min Alt -,
F-45A_mfd_altitudeSettings:R3_tooltip,Tooltip for an MFD button.,Max Alt +,
F-45A_mfd_altitudeSettings:R4_tooltip,Tooltip for an MFD button.,Max Alt -,
F-45A_mfd_altitudeSettings:L2_tooltip,Tooltip for an MFD button.,Toggle Alt Mode,
StoresManagementPage_MFDPortalPage_pageName,MFD portal page name,Stores Mgmt Sys,
StoresManagementPage_MFDPortalPage_pageLabel,MFD portal page button label,SMS,
s_sms_mode_0,SMS mode button labels,Config,
s_sms_mode_1,SMS mode button labels,Arming,
s_sms_mode_2,SMS mode button labels,Jettison,
s_sms_armed,Armed label for an equip in the SMS config view.,[ ARMED ],
s_sms_disarmed,Disarmed label for an equip in the SMS config view.,DISARMED,
s_sms_jettison,Jettison label for an equip in the SMS config view.,JETTISON,
s_sms_optionToggle,Tooltip prefix for SMS equipment option toggles,Toggle,
s_sms_optionRipple,Ripple button label for SMS equipment option.,Ripple,
s_sms_rippleSingle,Label for ripple setting set to single-fire (no ripple),Single,
s_bdo_open,SMS bay door override in OPEN position,OPEN,
s_bdo_auto,SMS bay door override in AUTO position,AUTO,
RadarDisplay_MFDPortalPage_pageName,MFD portal page name,Radar,
RadarDisplay_MFDPortalPage_pageLabel,MFD portal page button label,RADAR,
GPSSystem_MFDPortalPage_pageName,MFD portal page name,GPS Targets,
GPSSystem_MFDPortalPage_pageLabel,MFD portal page button label,GPST,
EOTSPortalPage_MFDPortalPage_pageName,MFD portal page name,EO Targeting,
EOTSPortalPage_MFDPortalPage_pageLabel,MFD portal page button label,EOTS,
MFDCommsMenu_MFDPortalPage_pageName,MFD portal page name,Communications,
MFDCommsMenu_MFDPortalPage_pageLabel,MFD portal page button label,COMMS,
GameMenuPage_MFDPortalPage_pageName,MFD portal page name,Game Menu,
GameMenuPage_MFDPortalPage_pageLabel,MFD portal page button label,GAME,
TacticalSituationDisplay_MFDPortalPage_pageName,MFD portal page name,Tactical Situation Display,
TacticalSituationDisplay_MFDPortalPage_pageLabel,MFD portal page button label,TSD,
AIM-120 Advanced Radar Missile x2_fullName,Full equip name of: AIM-120 Advanced Radar Missile x2,AIM-120 Advanced Radar Missile x2,
AIM-120 Advanced Radar Missile x2_description,Item description of: AIM-120 Advanced Radar Missile x2,A rack of two radar guided medium range air to air missiles.,
fa26_loadout_extFuelL,External Fuel Left,Ext fuel l,
fa26_loadout_extFuelR,External Fuel Right,Ext fuel r,
fa26_loadout_extFuelC,External Fuel Centerline,Ext fuel center,
fa26_loadout_extSensor,External Sensor,Ext sensor,
fa26_loadout_cft,Conformal Fuel Tank,Cft,
Mk.82 Bomb x2_fullName,Full equip name of: Mk.82 Bomb x2,Mk.82 Bomb x2,
Mk.82 Bomb x2_description,Item description of: Mk.82 Bomb x2,Two standard un-guided 500lb bombs.,
eqSublabel_BOMB-INTERNAL,HUD sub-label of an equip,BOMB INTERNAL,
GAU-8 Avenger_fullName,Full equip name of: GAU-8 Avenger,GAU-8 Avenger,
GAU-8 Avenger_description,Item description of: GAU-8 Avenger,"A 30mm, 7-barrel rotary cannon. Fires depleted uranium rounds at a high rate of fire.",
AN/APG-108 Fire Control Radar_fullName,Full equip name of: AN/APG-108 Fire Control Radar,AN/APG-108 Fire Control Radar,
AN/APG-108 Fire Control Radar_description,Item description of: AN/APG-108 Fire Control Radar,"A millimeter-wave radar housed and mounted over the main rotor. This radar can be used to scan land, sea, and air to detect, track, and classify multiple targets. Its high mounting point allows it to be used while the vehicle remains behind cover.",
SB-1 x32_fullName,Full equip name of: SB-1 x32,SB-1 x32,
SB-1 x32_description,Item description of: SB-1 x32,A rack of 32 standard un-guided 500lb bombs.,
AIRS-T Advanced SRM_fullName,Full equip name of: AIRS-T Advanced SRM,AIRS-T Advanced SRM,
AIRS-T Advanced SRM_description,Item description of: AIRS-T Advanced SRM,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.",
Mk-82AIR High Drag Bomb x1_fullName,Full equip name of: Mk-82AIR High Drag Bomb x1,Mk-82AIR High Drag Bomb x1,
Mk-82AIR High Drag Bomb x1_description,Item description of: Mk-82AIR High Drag Bomb x1,Standard un-guided 500lb bomb. Deploys an inflatable drag chute to slow descent for low altitude bombing.,
ASF-SRM-RA x1_fullName,Full equip name of: ASF-SRM-RA x1,ASF-SRM-RA x1,
ASF-SRM-RA x1_description,Item description of: ASF-SRM-RA x1,An older rear-aspect heat-seeking anti-air missile.,
Mk.82 Bomb x4_fullName,Full equip name of: Mk.82 Bomb x4,Mk.82 Bomb x4,
Mk.82 Bomb x4_description,Item description of: Mk.82 Bomb x4,Four standard un-guided 500lb bombs.,
ASMRM-7 x8 Internal_fullName,Full equip name of: ASMRM-7 x8 Internal,ASMRM-7 x8 Internal,
ASMRM-7 x8 Internal_description,Item description of: ASMRM-7 x8 Internal,Medium range radar guided air to air missile. Missiles are stowed internally to improve stealth and aerodynamics.,
Mk.83 Bomb x1_fullName,Full equip name of: Mk.83 Bomb x1,Mk.83 Bomb x1,
Mk.83 Bomb x1_description,Item description of: Mk.83 Bomb x1,Standard un-guided 1000lb bomb.,
AGM-126 SideARM II x3_fullName,Full equip name of: AGM-126 SideARM II x3,AGM-126 SideARM II x3,
AGM-126 SideARM II x3_description,Item description of: AGM-126 SideARM II x3,Compact short range anti-radiation missile based on the AIM-9x.,
AIM-9 Sidewinder_fullName,Full equip name of: AIM-9 Sidewinder,AIM-9 Sidewinder,
AIM-9 Sidewinder_description,Item description of: AIM-9 Sidewinder,A standard short range heat seeking air to air missile.,
MAD-4A Missile_fullName,Full equip name of: MAD-4A Missile,MAD-4A Missile,
MAD-4A Missile_description,Item description of: MAD-4A Missile,Advanced active radar-guided missile built for the Mobile Air Defense launcher. It has a range of about 55km (30nm).,
Mk-82 Bomb x1_fullName,Full equip name of: Mk-82 Bomb x1,Mk-82 Bomb x1,
Mk-82 Bomb x1_description,Item description of: Mk-82 Bomb x1,Standard un-guided 500lb bomb.,
s_cs_granted,Text in campaign selector,Granted,
s_cs_budget,Text in campaign selector,Budget,
s_cs_newMission,Text in campaign selector,New Mission:,
s_cs_newTraining,Text in campaign selector,New Training:,
s_cs_newEquip,Text in campaign selector,New Equipment:,
s_cs_incompatibleVersion,Text in campaign selector,Incompatible game version,
campaign_customScenarios,,Custom Scenarios,
campaign_customScenarios_description,,Play custom scenarios created in the VTEditor.,
campaign_ws,,Steam Workshop Scenarios,
campaign_ws_description,,Play custom scenarios installed through Steam Workshop.,
s_cInfo_completed,'x% [Completed]' text in campaign selector,Completed,
GBU-38 Bomb x4_fullName,Full equip name of: GBU-38 Bomb x4,GBU-38 Bomb x4,
GBU-38 Bomb x4_description,Item description of: GBU-38 Bomb x4,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,
tutName_Weapon Basics,Name of a legacy tutorial objective,Weapon Basics,
tutDesc_Weapon Basics,Description of a legacy tutorial,Complete the tutorial.,
tut:Weapon Basics:Intro10,A tutorial label,Welcome to the basic weapons tutorial.,
tut:Weapon Basics:Intro21,A tutorial label,"Today, we will be covering weapon configuration, target acquisition, and firing weapons.",
tut:Weapon Basics:Intro32,A tutorial label,Let's start by setting the MFDs to the pages we will use.,
tut:Weapon Basics:MFD3GoHome3,A tutorial label,Go to HOME page.,
tut:Weapon Basics:Open EQUIP4,A tutorial label,Open EQUIP,
tut:Weapon Basics:MFD2GoHome5,A tutorial label,Go to HOME page.,
tut:Weapon Basics:Open TGP6,A tutorial label,Open TGP,
tut:Weapon Basics:MFD1GoHome7,A tutorial label,Go to HOME page.,
tut:Weapon Basics:Open NAV8,A tutorial label,Open NAV,
tut:Weapon Basics:EQUIP info9,A tutorial label,The EQUIP page shows what you have on each of the vehicle's equipment mounts.,
tut:Weapon Basics:EQUIP info 210,A tutorial label,"It displays information on each item, and allows you to arm/disarm, configure, or mark them for jettison.",
tut:Weapon Basics:EQUIP info 311,A tutorial label,We'll go over each feature in more detail later.,
tut:Weapon Basics:TGP info12,A tutorial label,The TGP is what you will use to acquire ground targets.,
tut:Weapon Basics:TGP info 213,A tutorial label,"To use it, first you must supply power to the sensor mounted under the nose of the vehicle.",
tut:Weapon Basics:PWR on TGP14,A tutorial label,Enable TGP power.,
tut:Weapon Basics:TGP info 315,A tutorial label,"The TGP will be in FWD mode by default, which just looks straight forward.",
tut:Weapon Basics:TGP info 416,A tutorial label,"To be able to control it, you must designate the TGP as the sensor of interest (SOI).",
tut:Weapon Basics:Enable TGP SOI17,A tutorial label,Enable SOI,
tut:Weapon Basics:Slew TGP info18,A tutorial label,"Now, you can slew the targeting sensor around using the thumb control on your joystick.",
tut:Weapon Basics:TrySlewing19,A tutorial label,Try slewing the TGP around using the joystick thumb control.,
tut:Weapon Basics:Slew TGP info 220,A tutorial label,"When you move the sensor, it will auto switch to TGT mode, which locks its focus point on the ground while you're flying.",
tut:Weapon Basics:Slew TGP info 321,A tutorial label,The yellow arrow on the screen shows the relative bearing to the target point.,
tut:Weapon Basics:TGP info 522,A tutorial label,The target point also shows up on the NAV map as a yellow cross.,
tut:Weapon Basics:Now lets take off23,A tutorial label,Now let's find some targets.  Take off and fly to the objective waypoint.,
tut:Weapon Basics:Brakes OFF24,A tutorial label,Unlock Brakes,
tut:Weapon Basics:Fly to AO25,A tutorial label,,
tut:Weapon Basics:MasterArmInfo26,A tutorial label,"Now that we are in the AO, you can enable the Master Arm switch.",
tut:Weapon Basics:MasterArm ON27,A tutorial label,Enable Master Arm,
tut:Weapon Basics:MasterArmInfo228,A tutorial label,"With the weapon system armed, you will see some new icons on the HUD",
tut:Weapon Basics:ReticleInfo29,A tutorial label,"At the center, you have the weapon targeting reticle or pipper.",
tut:Weapon Basics:WeaponInfo30,A tutorial label,"Here, you have weapon type, name, and shots remaining.",
tut:Weapon Basics:WeaponSwitching31,A tutorial label,You can cycle through all ARMED weapons by pressing the button on the joystick.,
tut:Weapon Basics:WeaponSwitching32,A tutorial label,Switch to HYDRA70,
tut:Weapon Basics:WeaponSwitching33,A tutorial label,Switch to GAU-8,
tut:Weapon Basics:Firing34,A tutorial label,These unguided weapons can be fired by simply pulling the trigger on the joystick.,
tut:Weapon Basics:Firing 235,A tutorial label,You have limited stores so save your rounds for the targets.,
tut:Weapon Basics:GunMission136,A tutorial label,Let's try deploying the GAU-8 on some ground targets.,
tut:Weapon Basics:GunMission237,A tutorial label,"In a moment, you'll receive a mission objective.",
tut:Weapon Basics:GunMission338,A tutorial label,You can auto-slew your TGP to the objective waypoint by pressing the WPT button in the TGP screen.,
tut:Weapon Basics:GunMission4 Start39,A tutorial label,Go ahead and destroy the tanks.,
tut:Weapon Basics:GunMission40,A tutorial label,,
tut:Weapon Basics:GoodJobGuns41,A tutorial label,Great job!  Now let's work with rockets.,
tut:Weapon Basics:SwitchToRockets42,A tutorial label,Switch to HYDRA70,
tut:Weapon Basics:Rocket info43,A tutorial label,"Hydra 70's are small, unguided rockets.",
tut:Weapon Basics:Rocket info 244,A tutorial label,"By default, each pull of the trigger will fire one rocket.",
tut:Weapon Basics:Rocket info 345,A tutorial label,"However, they can be configured to launch rapidly.  This is called 'ripple' firing.",
tut:Weapon Basics:Rocket info 446,A tutorial label,"To access a weapons config menu, set the EQUIP MFD page to CONFIG mode",
tut:Weapon Basics:Set to config mode47,A tutorial label,Set to CONFIG mode,
tut:Weapon Basics:Rocket info 548,A tutorial label,"Then, select the weapon you want to configure.",
tut:Weapon Basics:Rocket info 649,A tutorial label,"If you have multiple of the same weapon, the settings will be copied over to all of them.",
tut:Weapon Basics:TryRipple50,A tutorial label,Try setting the rockets to different ripple intervals and destroy the next set of targets.,
tut:Weapon Basics:RocketMission51,A tutorial label,,
tut:Weapon Basics:Well done52,A tutorial label,Well done! You've destroyed all of the targets.,
tut:Weapon Basics:Conclusion53,A tutorial label,This concludes the basic weapons tutorial.,
Mk-82 Bomb x2_fullName,Full equip name of: Mk-82 Bomb x2,Mk-82 Bomb x2,
Mk-82 Bomb x2_description,Item description of: Mk-82 Bomb x2,Two standard un-guided 500lb bombs.,
AGM-161 Anti Surface Stand-off Missile_fullName,Full equip name of: AGM-161 Anti Surface Stand-off Missile,AGM-161 Anti Surface Stand-off Missile,
AGM-161 Anti Surface Stand-off Missile_description,Item description of: AGM-161 Anti Surface Stand-off Missile,A cruise missile designed to deliver a large payload to a ground target over a long distance.  It follows a pre-programmed GPS course with automatic terrain avoidance.,
eqSublabel_GPS-CRUISE,HUD sub-label of an equip,GPS CRUISE,
PAC-3_fullName,Full equip name of: PAC-3,PAC-3,
PAC-3_description,Item description of: PAC-3,Radar-guided surface-to-air defense missile.,
GMA-14 x3_fullName,Full equip name of: GMA-14 x3,GMA-14 x3,
GMA-14 x3_description,Item description of: GMA-14 x3,A rack of 3 laser guided anti-tank missiles.,
FLKM-100_fullName,Full equip name of: FLKM-100,FLKM-100,
FLKM-100_description,Item description of: FLKM-100,Dual stage long range active radar-guided missile that deploys a field of explosive munitions.,
MK-82 x32_fullName,Full equip name of: MK-82 x32,MK-82 x32,
MK-82 x32_description,Item description of: MK-82 x32,A rack of 32 MK-82 bombs.,
CAGM-6 Cluster Missile_fullName,Full equip name of: CAGM-6 Cluster Missile,CAGM-6 Cluster Missile,
CAGM-6 Cluster Missile_description,Item description of: CAGM-6 Cluster Missile,"An optically guided ""fire-and-forget"" missile. 
Deploys 6 submunitions that independently seek targets in the field of view.",
eqSublabel_OPTICAL-FF-CLUSTER,HUD sub-label of an equip,OPTICAL FF CLUSTER,
AGM-126 SideARM II x2_fullName,Full equip name of: AGM-126 SideARM II x2,AGM-126 SideARM II x2,
AGM-126 SideARM II x2_description,Item description of: AGM-126 SideARM II x2,Compact short range anti-radiation missile based on the AIM-9x.,
AIM-9 Sidewinder x3_fullName,Full equip name of: AIM-9 Sidewinder x3,AIM-9 Sidewinder x3,
AIM-9 Sidewinder x3_description,Item description of: AIM-9 Sidewinder x3,A rack of three standard heat-seeking Sidewinder anti-air missiles.,
F/A-26B_mfd_cam:B3,Label for an MFD button (short!).,PREV,
F/A-26B_mfd_cam:B5,Label for an MFD button (short!).,NEXT,
F/A-26B_mfd_home:B1,Label for an MFD button (short!).,NAV,
F/A-26B_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,
F/A-26B_mfd_home:B2,Label for an MFD button (short!).,OBJ,
F/A-26B_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,
F/A-26B_mfd_home:B3,Label for an MFD button (short!).,CAM,
F/A-26B_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,
F/A-26B_mfd_home:B4,Label for an MFD button (short!).,TGP,
F/A-26B_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,
F/A-26B_mfd_home:B5,Label for an MFD button (short!).,GPS,
F/A-26B_mfd_home:B5_tooltip,Tooltip for an MFD button.,GPS Targets,
F/A-26B_mfd_home:R2,Label for an MFD button (short!).,S-CAM,
